1,J. K. Rowlings,The Sorcerer's Stone,1997
1,J. K. Rowlings,The Sorcerer's Stone,1997
2,J. K. Rowlings,The Chamber of Secrets,1999
3,J. K. Rowlings,The Prisoner of Azkaban,1999
4,J. K. Rowlings,The Goblet of Fire,2000
5,J. K. Rowlings,The Order of the Phoenix,2003
6,J. K. Rowlings,The Half-Blood Prince,2005
7,J. K. Rowlings,The Deathly Hallows,2007
8,David Baldacci,Camel Club,2005
9,David Baldacci,The Collectors,2006
10,David Baldacci,Stone Cold,2007
11,David Baldacci,Divine Justice,2008
12,David Baldacci,Hells Corner,2010
13,David Baldacci,Split Second,2003
14,David Baldacci,Hour Game,2004
15,David Baldacci,Simple Genius,2007
16,David Baldacci,First Family,2009
