made_by,accepted,offer_count,factor
1,1,3,1.502283105
0,0,2,0.407894737
1,0,1,3.076923077
1,0,1,3.333333333
0,0,1,0.565714286
0,0,1,0.22
0,0,2,0.431340109
1,1,1,0.884563758
1,0,1,12.12121212
0,0,2,0.140431508
1,0,1,3.333333333
0,0,1,0.234604106
0,0,1,1.119266055
0,0,1,0
0,1,2,0.921917589
1,0,1,1
1,0,1,1
1,0,1,2.971768202
1,0,1,3.295
0,0,1,0.441640379
1,0,1,1.515011547
0,0,1,0.118055556
0,0,1,0.783410138
0,0,2,0.691377921
0,0,2,1.242718447
0,0,1,0.244444444
1,0,1,3.123809524
1,1,1,3.225
1,0,1,2.661202186
1,0,1,7.474103586
1,0,1,1.351428571
0,0,1,1.219512195
0,0,2,0.194932901
1,1,1,2.384415584
0,0,1,0.855661193
0,0,2,0
1,1,1,3.998049732
1,0,1,4.096681688
1,0,1,2.102564103
0,1,1,0.37922403
0,0,1,1.448412698
0,0,1,0.447089947
0,1,1,0.562162162
0,0,2,0.948012232
0,0,1,0.194932901
1,0,1,0.927756654
0,0,2,0
0,1,1,0.607758621
0,0,2,0.634328358
0,0,2,0.194932901
1,0,1,3.13283208
1,0,1,2.262068966
0,0,2,0
1,0,1,6.677966102
0,0,1,0.194932901
0,0,1,0.641666667
0,0,2,0.52739726
1,0,1,1
0,0,2,0.194932901
1,0,1,2.857142857
0,0,1,1
1,0,1,1
0,0,2,0.267152761
1,0,1,2.771428571
0,0,2,0.267152761
0,0,1,0.846153846
1,1,1,7.283321194
1,0,1,4.903896104
0,1,1,0.76581576
1,1,1,1.25
0,0,1,0.267152761
1,1,1,1.725490196
0,0,1,0.271862256
1,0,1,1
0,0,2,0.267152761
0,0,1,0.251428571
0,0,2,0.78778135
0,0,2,0.150332798
0,0,2,0.267152761
1,0,1,0.965791802
1,0,1,2.064
0,0,2,0.124195552
0,0,1,0.251428571
1,0,1,12.57861635
0,0,2,0.219941349
0,0,1,0.611287891
0,1,1,0.551967117
0,0,1,1.254716981
